fid,id,nb_points,x,y,h,lat,lon,z,gnd_elev,min_h,delta_h,avg_intensity,source,validity,is_outlier,is_windmill,windmill_h,windmill_id,windmill_status,windmill_stand,in_nrw,eTOD_found,eTOD_name,eTOD_z,eTOD_h,eTOD_descr,eTOD_dist,eTOD_x,eTOD_y,AIP_issue,ALS_issue,processed_on,ALS_comment,AIP_comment,free_comment,view_available,object_type,OSINT,duplicate,2D_embed_link,3D_embed_link
"451",03.01.58,"24376",404405.4224,5721585.434,125.9499989,51.63710385,7.618549845,181.08,55.13000107,60.04000168,65.90999725,153.4495816,3dm_32_404_5721_1_nw.laz,2019-12,false,false,,,,,true,false,,,,,,,,true,false,2024/02/08 00:00:00,,missing,,true,building,,false,https://dme-3.github.io/Obstacles-Map/embeds/3.1.58-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/3.1.58-3D.html
"487",03.02.60,"1157",402412.2168,5811147.491,167.8899997,52.44179566,7.564366088,201.57,33.68000031,95.21000076,72.67999893,231.7312014,3dm_32_402_5811_1_nw.laz,2019-02,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"489",01.03.60,"811",335738.9355,5651234.617,126.5899957,50.98927868,6.659467597,210.11,83.52000427,60.07000366,66.51999207,29325.46609,3dm_32_335_5651_1_nw.laz,2022-02,false,false,,,,,true,false,,,,,,,,true,false,2024/02/08 18:55:39,,missing,,true,smoke stack,,false,https://dme-3.github.io/Obstacles-Map/embeds/1.3.60-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/1.3.60-3D.html
"513",01.01.62,"738",315565.74,5580842.513,154.9249976,50.35074078,6.407588563,730.49,575.5650024,60.12500732,94.79999023,127.6585366,3dm_32_315_5580_1_nw.laz,2021-12,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"562",02.01.65,"1367",373597.9373,5710176.427,140.1499985,51.52856324,7.177788165,195.05,54.90000153,60.05000015,80.09999832,176.4469642,3dm_32_373_5710_1_nw.laz,2019-12,false,false,,,,,true,false,,,,,,,,true,false,2024/02/08 00:00:00,,missing,,true,smoke stack,,false,https://dme-3.github.io/Obstacles-Map/embeds/2.1.65-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/2.1.65-3D.html
"577",01.01.66,"859",317025.89,5579310.021,153.9350049,50.33742398,6.428722882,728.43,574.4949951,60.10249023,93.83251465,125.6635623,3dm_32_317_5579_1_nw.laz,2021-12,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"593",01.01.67,"996",317072.8371,5579572.456,153.4949951,50.33979753,6.429202417,760.25,606.7550049,60.04998779,93.44500732,134.0863454,3dm_32_317_5579_1_nw.laz,2021-12,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"599",03.02.67,"1467",402735.7349,5811870.883,161.7999986,52.4483467,7.568855587,196.36,34.56000137,60.06000061,101.739998,151.3537832,3dm_32_402_5811_1_nw.laz,2019-02,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"615",03.02.68,"1059",429709.7822,5774165.903,161.4625024,52.11307918,7.973840346,234.21,72.74749756,60.06499634,101.3975061,136.0793201,3dm_32_429_5774_1_nw.laz,2019-02,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"626",02.01.69,"570",356909.0022,5715493.954,138.1900017,51.57233148,6.935169964,185.2,47.00999832,60.00750015,78.18250153,1119.603509,3dm_32_356_5715_1_nw.laz,2020-03,false,false,,,,,true,false,,,,,,,,true,false,2024/02/08 00:00:00,,missing,,true,smoke stack,,false,https://dme-3.github.io/Obstacles-Map/embeds/2.1.69-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/2.1.69-3D.html
